id,name,category,region,batch,projectCode,protectUnits,tags,popularity,experienceValue,intro,detailUrl,manualVector
national-0360,维吾尔族民歌,传统音乐,新疆维吾尔自治区伊宁市、库车县,第四批扩展项目,Ⅱ—116,,传统音乐；故事叙事；地方记忆；声音艺术；现场聆听,73,70,维吾尔族民歌是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区伊宁市、库车县。,,
national-0361,乌孜别克族埃希来、叶来,传统音乐,新疆维吾尔自治区艺术研究所、伊犁哈萨克自治州、喀什地区,第二批,Ⅱ—117,,传统音乐,78,70,乌孜别克族埃希来、叶来是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区艺术研究所、伊犁哈萨克自治州、喀什地区。,,
national-0362,回族宴席曲,传统音乐,青海省门源回族自治县,第二批,Ⅱ—118,,传统音乐；舞台表演；传统审美,78,70,回族宴席曲是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为青海省门源回族自治县。,,
national-0363,琵琶艺术（瀛洲古调派、浦东派、平湖派）,传统音乐,上海市崇明县、南汇区，浙江省平湖市,第二批,Ⅱ—119,,传统音乐；瀛洲古调派；浦东派；平湖派；舞台表演；传统审美,78,70,琵琶艺术（瀛洲古调派、浦东派、平湖派）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为上海市崇明县、南汇区，浙江省平湖市。,,
national-0364,古筝艺术（山东古筝乐）,传统音乐,山东省菏泽市,第二批,Ⅱ—120,,传统音乐；山东古筝乐；声音艺术；现场聆听,78,70,古筝艺术（山东古筝乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为山东省菏泽市。,,
national-0365,古筝艺术（中州筝派）,传统音乐,河南省,第四批扩展项目,Ⅱ—120,,传统音乐；中州筝派,73,70,古筝艺术（中州筝派）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为河南省。,,
national-0366,笙管乐（复州双管乐、建平十王会、超化吹歌）,传统音乐,辽宁省瓦房店市、建平县，河南省新密市,第二批,Ⅱ—121,,传统音乐；复州双管乐；建平十王会；超化吹歌；故事叙事；地方记忆；声音艺术；现场聆听,78,70,笙管乐（复州双管乐、建平十王会、超化吹歌）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为辽宁省瓦房店市、建平县，河南省新密市。,,
national-0367,津门法鼓（挂甲寺庆音法鼓、杨家庄永音法鼓、刘园祥音法鼓）,传统音乐,天津市河西区、北辰区,第二批,Ⅱ—122,,传统音乐；挂甲寺庆音法鼓；杨家庄永音法鼓；刘园祥音法鼓；声音艺术；现场聆听；现场表演；节庆氛围,78,70,津门法鼓（挂甲寺庆音法鼓、杨家庄永音法鼓、刘园祥音法鼓）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为天津市河西区、北辰区。,,
national-0368,津门法鼓（香塔音乐法鼓）,传统音乐,天津市西青区,第四批扩展项目,Ⅱ—122,,传统音乐；香塔音乐法鼓；声音艺术；现场聆听；现场表演；节庆氛围,73,70,津门法鼓（香塔音乐法鼓）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为天津市西青区。,,
national-0369,锣鼓艺术（汉沽飞镲、常山战鼓、太原锣鼓、泗泾十锦细锣鼓、大铜器、开封盘鼓、宜昌堂调、韩城行鼓）,传统音乐,天津市汉沽区，河北省正定县，山西省太原市，上海市松江区，河南省西平县、郏县、开封市，湖北省宜昌市，陕西省韩城市,第二批,Ⅱ—123,,传统音乐；汉沽飞镲；常山战鼓；太原锣鼓；泗泾十锦细锣鼓；大铜器；开封盘鼓；宜昌堂调,78,70,锣鼓艺术（汉沽飞镲、常山战鼓、太原锣鼓、泗泾十锦细锣鼓、大铜器、开封盘鼓、宜昌堂调、韩城行鼓）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为天津市汉沽区，河北省正定县，山西省太原市，上海市松江区，河南省西平县、郏县、开封市，湖北省宜昌市，陕西省韩城市。,,
